price,pshop,pname
¥3430.00,济南正渠商贸有限公司,联想一体机/台式机电脑Lenovo/联想C340-飞悦型(黑色)
¥3398.00,济南正渠商贸有限公司,C560升级联想一体机电脑C5030 3558U 4G 1T 2G独显 2G独显 23寸
¥3999.00,济南秦汉商贸有限公司,联想一体机电脑C5030台式机i3-4030U 4G内存1T硬盘2G独显 黑白色
¥3099.00,济南秦汉商贸有限公司,联想台式机电脑F5055 SX2 250 1G独立显卡 家用办公整机 20LED
¥5799.00,济南秦汉商贸有限公司,联想B5040 I5-4460/8G/1T/2G 23LED
¥3999.00,济南秦汉商贸有限公司,联想C5030(I3-4005/4G/1T/2G独显/Rambo/23寸)黑色
¥1999.00,江苏虹翔电子有限公司,长城电脑 一体机 嘉翔G1610
¥7788.00,山东钰都通讯科技有限公司,2015新款Apple/苹果 MacBook Air 11英寸笔记本电脑
¥6299.00,联想自营官方旗舰店,拯救者Y7000电脑(i5-8300H/8G内存/512G SSD/GTX1050Ti 4G显卡/72%NTSC)黑色81FW000SCD
¥6599.00,联想自营官方旗舰店,拯救者Y7000P电脑(i5-8300H/8G内存/512G SSD/GTX1050Ti 4G/144Hz/72%NTSC)黑色81HC0009CD
¥6999.00,联想自营官方旗舰店,拯救者Y7000电脑(i7-8750H/8G内存/512G SSD/GTX1050Ti 4G显卡/72%NTSC)黑色81FW000UCD
¥5000.00,富银数码科技,Lenovo/联想 笔记本电脑第七代 全新第七代i7 2G独显
¥8099.00,联想自营官方旗舰店,拯救者Y7000电脑(i7-8750H/8G内存/512G SSD/GTX1060 6G/72%NTSC)黑色81LC0004CD
¥7599.00,联想自营官方旗舰店,拯救者Y7000P电脑(i5-8300H/8G内存/512G SSD/GTX1060 6G显卡/144Hz)黑色81LE0005CD
¥5000.00,富银数码科技,HP/惠普 笔记本电脑 第八代 全新处理器 2G独显
¥4099.00,联想自营官方旗舰店,联想ideapad330C电脑(I5-8250U/4G内存/1T HDD+128G SSD/2GB显卡/15.6英寸)黑色81J60001CD
¥890.00,陕西金美格商贸有限责任公司,联想YOGA平板 3 8英寸 WiFi版
¥4850.00,富银数码科技,HP/惠普 HP 15 ac-651tx笔记本电脑i5游戏本超薄手提电脑15.6英寸240G 固态 2Gddr5独显
¥4899.00,富银数码科技,HP/惠普 HP15 -ac601TX 15.6英寸高分屏i7 2G独显游戏笔记本电脑
¥5000.00,富银数码科技,HP/惠普 笔记本电脑 第八代 全新处理器 2G独显 256G固态
¥4999.00,富银数码科技,HP/惠普14英寸八代i5独显 轻薄便携商务办公学生手提笔记本电脑女
¥4899.00,富银数码科技,HP/惠普 HP15 -ac601TX 15.6英寸高分屏i7 2 G独显游戏笔记本电脑
¥2308.00,索亚尼Apple产品专营店,【年货节抢购 送好礼】2018款 Apple/苹果 iPad 9.7英寸 平板电脑
¥950.00,汉中星际数码有限公司,教育平板-10英寸-WiFi版 Lenovo TB2-X30F TAB 16GBE-CN-EDU
¥2188.00,龙翔通讯官方旗舰店,2018款Apple iPad 9.7英寸平板电脑
¥3999.00,富银数码科技,平板二合一12.2英寸平板电脑win10 WIFI 128GB PC
¥1858.00,左辅数码科技（上海）有限公司,【赠送高级皮套+防爆钢化膜】 Apple/苹果 iPad mini 4平板7.9英寸mini4迷你4平板电脑
¥5639.00,深圳市合烁数码有限公司,2018Apple iPad Pro 平板电脑 2018年新款 11英寸/12.9英寸 WLAN版/全面屏 【学生价特价】
¥2565.00,北京安通通讯设备有限公司,Apple iPad 9.7英寸 32G 全国联保
¥5788.00,索亚尼Apple产品专营店,【年货节抢购 赠好礼】2018年款 Apple iPad Pro wifi版平板电脑 11英寸/12.9英寸
¥4468.00,左辅数码科技（上海）有限公司,【赠送高级皮套+防爆钢化膜】 新款Apple苹果 iPad Pro10.5 英寸ipad pro平板电脑 Wifi/4G版
¥2358.00,伟义丰数码产品专营店,18年苹果新款 Apple iPad 9.7英寸 WIFI版平板电脑
¥2288.00,TSM数码旗舰店,"【赠壳膜,现货速发】苹果 Apple iPad 9.7英寸 2018新款 第6代 苹果平板电脑 2018新款iPad"
¥2208.00,深圳市合烁数码有限公司,2018新款Apple iPad 平板电脑 9.7英寸 非学生价赠送保护壳 顺丰包邮 【学生价/12期免息】
¥2499.00,承易购商城,2018年款 Apple iPad 平板电脑 9.7英寸（A10 芯片/Retina显示屏/Touch ID ）
¥690.00,富银数码科技,酷比魔方 iwork8旗舰版 WIFI 32GB 8英寸64位四核WIN10平板电脑
¥5639.00,深圳市合烁数码有限公司,2018Apple iPad Pro 平板电脑 2018年新款 11英寸/12.9英寸 WLAN版/全面屏 【学生价特价】
¥4999.00,富银数码科技,HP/惠普 15 k301TU 小苍本15.6英寸轻奢游戏本 i7-4750HQ锐炬显卡
¥2565.00,北京安通通讯设备有限公司,Apple iPad 9.7英寸 32G 全国联保
¥4899.00,富银数码科技,HP/惠普 HP15 -ac601TX 15.6英寸高分屏i7 2 G独显游戏笔记本电脑
¥5788.00,索亚尼Apple产品专营店,【年货节抢购 赠好礼】2018年款 Apple iPad Pro wifi版平板电脑 11英寸/12.9英寸
¥7199.00,云南卓腾科技有限公司,ThinkPad笔记本 X240s-20AJA05WCD
¥5299.00,富银数码科技,Lenovo/联想 小新 700-15isk旗舰版I5/8G/1T游戏笔记本电脑
¥5399.00,星城朝阳数码,联想(Lenovo)小新Air13 Pro 13.3英寸14.8mm超轻薄笔记本电脑（i5 4G 256G PCIE SSD 940MX 2G FHD
¥5999.00,武汉市新九信息技术工程有限公司,Ideapad320S-14笔记本
¥5999.00,星城朝阳数码,联想 YOGA710 14.0英寸I5-7200U/4G/256G固态/2G独显金色/银色
¥7599.00,武汉市新九信息技术工程有限公司,联想YOGA720-13笔记本电脑
¥4799.00,江苏欧意通旗舰店,Dell/戴尔 成就Vostro 14-V5468-1605 酷睿I5 7代处理器 256G固态开机9秒钟 戴尔笔记本 戴尔电脑 笔记本 笔记本电脑
¥6299.00,武汉市新九信息技术工程有限公司,联想YOGA 710-14笔记本电脑
¥5299.00,江苏辰梵电子科技有限公司,Lenovo/联想 Flex14 I5-4200 4G 500G 2G独显 超级本 十点触控 翻转
¥4199.00,天创 笔记本专卖,三星（Samsung）905S3K系列 13.3英寸防眩光屏 超极本电脑 四核高分屏
¥3398.00,天创 笔记本专卖,东芝笔记本C40-AT27W1
¥5199.00,江苏辰梵电子科技有限公司,Lenovo/联想 Flex14 I5-4200 4G 500G 2G独显 大黄蜂 超级本 十点触控 翻转
¥168.00,龙翔通讯官方旗舰店,小米小爱音箱mini 智能音箱 听音乐语音遥控家电 人工智能音箱
¥500.00,富银数码科技,新品上市 罗技G502HERO主宰者 有线电竞游戏机械鼠标背光宏编程绝地求生吃鸡LOL台式电脑笔记本通用男女生
¥38.00,清华商贸,独到 Y3 音箱 插卡收音机LED灯蓝牙迷随身你便携音响
¥30.00,富银数码科技,爱国者Q21鼠标有线 静音无声USB电脑办公笔记本台式商务家用网吧lol男女生cf通用光电鼠标 吃鸡电竞游戏鼠标
¥100.00,富银数码科技,第一卫E8无线蓝牙音箱迷你小音响钢炮手机超重低音炮户外随身便携车载家用桌面电脑抖音3D智能k歌专用新款底
¥30.00,江苏新圆梦旗舰店（官方直营）,戴尔MS116有线光电鼠标 笔记本鼠标 女生鼠标 办公鼠标
¥50.00,厘米电子科技,iMICE X8 噬魂猎手6键游戏鼠标 电脑CF/LOL电竞有线发光鼠标
¥379.00,图鼎数码旗舰店,东芝V9移动硬盘 高端系列 2.5英寸 （USB3.0）1TB
¥569.00,图鼎数码旗舰店,闪迪(SanDisk) 加强版 480G 固态硬盘
¥80.00,福建通古商贸有限公司,科凌 A5无线蓝牙音箱手机迷你随身音响插卡便携式车载低音小钢炮
¥109.00,福建通古商贸有限公司,科凌 A8手机无线蓝牙音箱车载迷你音响小钢炮便携式插卡重低音炮
¥249.00,上海三野文化传播有限公司,JBL GO2升级版音乐金砖二代无线蓝牙音箱户外便携迷你小音响低音
¥185.00,小米之家店,小米（MI）小爱音箱mini 智能音箱
